Mayo Clinic North Addition|0.0
Preserve at Ponte Vedra Lakes|0.0
Tamaya|0.0
Seaside Vista|0.0
Amelia Concourse Phase Ph 2 and 3|0.04
Amelia National - RSH|0.04
Amelia National (ICI Homes)|0.04
Amelia Walk Richmond|0.04
Amelia Walk Ph 3|0.04
Forest Park at Wildlight|0.02
Tributary (Dream Finders)|0.0
Tributary - RAH|0.0
Wildlight|0.02
East Village|0.0
Kettering at E-Town (Providence)|0.0
Kettering E Town Ph 2 (Pipeline Contractors|0.0
Fusion Apartments|0.0
Tidal Point at Southside|0.0
E Town Parcel 5,Phase 1 (Nobel) David Weekley|0.0
E Town Parcel 5,Phase 1 (Nobel) ICI Homes|0.0
E Town (Marconi) ICI Homes|0.0
E-Town Ph 1 and 2 (Marconi)  David Weekley|0.0
E Town Parcel E4 & E6 (Edison)|0.0
eTown Parcel 8|0.0
Amelia Park|0.04
Harbor View|0.04
Kingsley Creek|0.04
Waterway Oaks at Oyster Bay Harbour|0.04
Woodbridge III|0.04
Enclave Ph 2A and 2B|0.04
Dutton Island Oaks|0.0
